id;user_id;date;created_at;updated_at
1;8301;2024-03-03;2024-03-02T15:12:57;2024-03-02T11:20:54
2;5577;2024-03-02;2024-03-02T17:39:04;2024-03-02T22:28:21
3;23373;2024-03-03;2024-03-03T00:51:00;2024-03-03T04:20:50
4;28791;2024-03-03;2024-03-03T07:16:39;2024-03-02T21:47:51
5;14522;2024-03-02;2024-03-03T05:36:10;2024-03-03T00:11:04
6;7174;2024-03-03;2024-03-02T22:05:52;2024-03-02T12:21:01
7;6563;2024-03-02;2024-03-03T01:26:08;2024-03-02T17:34:10
8;24075;2024-03-02;2024-03-02T13:31:38;2024-03-03T07:31:29
9;20063;2024-03-02;2024-03-03T05:12:47;2024-03-03T00:37:44
10;26408;2024-03-02;2024-03-02T18:09:14;2024-03-02T08:47:43
